,id,type,rooms,bathrooms,squaremeters,floor,furnished,image,description,price,typenum,furnishednum,transport,equipped,renovated,shops,cellar,balcony,parking,shared,green,historic,university
61,65,studio,1,1,20,1,no,html/img/houses/65.JPG,"Ideally located near public transport, we offer this apartment consisting of a main room with kitchenette and a bathroom with toilet. You also benefit from a parking space. Heating, hot water and cold water are included in the provisions on charges. ",450,2,0,1,0,0,1,0,0,1,0,0,0,0
90,103,studio,1,1,23,1,no,html/img/houses/103.JPG,"2 steps from the beaulieu campus, pleasant studio including a living room, an equipped kitchen, a bathroom, a dressing room, a cellar and an outdoor parking space; all the comforts to succeed in your studies in a calm environment.",415,2,0,1,1,0,1,1,0,1,0,0,0,0
9,10,apartment,1,1,44,1,yes,html/img/houses/10.jpg,"furnished flat with living room, fitted and equipped kitchen, 1 bedroom, balcony, location: garage, green spaces",700,3,1,0,1,0,0,0,1,1,0,1,0,0
182,197,apartment,2,1,36,-1,yes,html/img/houses/197.JPG,"Located in the Gare district, close to transport and shops, in a residence located a stone's throw from the station on the North side. Come and discover this type 1 Bis furnished apartment, comprising an entrance hall, a fitted and equipped kitchen (fridge, hob, washing machine), a living room, a bedroom, a shower room with WC.",635,3,1,1,1,0,1,0,0,0,0,0,0,0
163,177,studio,1,1,16,0,no,html/img/houses/177.JPG,31 RUE LOUIS GUILLOUX PONT ROBERT SCHUMAN NEAR AGROCAMPUS 15 MÂ² 79 ON THE 1ST FLOOR PARKING KIT EQUIPPED WITH ELECTRIC HEATING,405,2,0,1,1,0,1,0,0,1,0,0,0,0
113,126,studio,1,1,20,2,yes,html/img/houses/126.JPG,"Located in a quiet area, near the University of Rennes 1 and close to public transport. we offer this studio consisting of a living room with cupboard, an equipped kitchenette and a bathroom. You also have access to the parking lot of the residence and to the laundry. ",405,2,1,1,1,0,1,0,0,1,0,0,0,1
126,139,studio,1,1,18,3,yes,html/img/houses/139.JPG,"On the Place Saint-Michel. in a very beautiful building completely renovated. Pleasant furnished duplex studio in a quiet courtyard side, comprising an entrance hall, main room with kitchen area, shower room, bedroom upstairs.",490,2,1,1,0,1,1,0,0,0,0,0,0,0
45,48,apartment,4,1,60,4,yes,html/img/houses/48.JPG,3 furnished rooms located at 22 square henry dunant near all shops - 4th floor with elevator. Apartment recently redone and fully equipped: 3 comfortable bedrooms. Per room: 1 double bed + 1 wardrobe/cupboard + 1 desk.,1149,3,1,1,0,1,1,0,0,0,0,0,0,0
1,1,apartment,1,1,9,-1,yes,html/img/houses/2.jpg,"Furnished room, very good standing, renovated, double glazing, good insulation, close to shops, STAR bus, metro, train station, school",355,3,1,1,0,1,1,0,0,0,0,0,0,0
154,168,apartment,1,1,54,1,no,html/img/houses/168.JPG,"FOR RENT, Alphonse GuÃ©rin district, 3-room apartment consisting of a separate fitted kitchen, a living room with balcony, two bedrooms, a shower room and WC, an attic, a cellar. ",756,3,0,0,0,0,0,1,1,0,0,0,0,0
48,52,studio,1,1,44,2,yes,html/img/houses/52.JPG,"Furnished one-bedroom apartment, good standing, refurbished, double glazing, good insulation, balcony, location: garage, cupboards and storage, close to shops, STAR bus.",700,2,1,1,0,1,1,1,1,1,0,0,0,0
169,183,apartment,2,1,41,3,yes,html/img/houses/183.JPG,"Type 2 apartment, on the 3rd floor, comprising an entrance, a kitchen living room, a bedroom, a shower room/wc, cupboards, a balcony, covered parking. ",560,3,1,0,0,0,0,0,1,1,0,0,0,0
43,46,studio,1,1,27,1,no,html/img/houses/46.JPG,"Rue Camille Desmoulins, near Metro Anatole France. On the 1st floor of a small condominium, studio, 27 mÂ², living room facing south, fitted and equipped kitchen area (hob, fridge), bathroom with WC. Electric heating. Private outdoor parking.",480,2,0,0,1,0,0,0,0,1,0,0,0,0
137,150,apartment,4,1,75,3,yes,html/img/houses/150.JPG,"South-facing furnished apartment with 4 bedrooms; two of which with balcony. In common, a fitted kitchen, a bathroom with double sink and washing machine outlet, a separate toilet. A walk-in closet. A cave. Easy to park at the bottom of the building. ",1510,3,1,0,0,0,0,1,1,1,0,0,0,0
176,190,apartment,2,1,60,2,yes,html/img/houses/190.JPG,"It is offered for rent a modern apartment renovated, furnished and equipped, with 1 double and luxurious bedroom, and 1 very spacious bathroom.",750,3,1,0,1,1,0,0,0,0,0,0,0,0
172,186,studio,1,1,34,4,yes,html/img/houses/186.JPG,"Cogir Immobilier offers you this T1 Bis located on the FranÃ§ois Mitterrand mail on the top floor of a beautiful condominium. The apartment is composed of an entrance, living room with cupboard, storage room, fitted kitchen, bathroom with WC and a garage. Washing machine connection.",540,2,1,1,0,0,1,0,0,1,0,0,0,0
40,43,studio,1,0,9,1,yes,html/img/houses/43.JPG,"Close to the University and all amenities. Kitchen for several people, fridge with individual compartment and to be locked. Bathroom opposite in the hallway, for use by three people. Cleaning service for common rooms.",345,2,1,1,1,0,0,0,0,0,1,0,0,1
177,191,studio,1,1,26,5,yes,html/img/houses/191.JPG,"A stone's throw from Place de Bretagne, large bright studio with balcony, view of Vilaine. comprising an entrance with cupboard, a living room with fitted kitchen area, a bathroom with wc. ",500,2,1,0,0,0,0,0,1,0,0,0,0,0
74,82,studio,1,0,14,3,yes,html/img/houses/82.JPG,SMALL FURNISHED STUDIO WITH A SURFACE OF 14 M2 COMPRISING A MAIN ROOM WITH KITCHENETTE AREA - A SHOWER ROOM - COMMON WC ON THE LANDING VERY QUIET - GARDEN SIDE.,425,2,1,1,0,0,1,0,0,0,1,1,0,0
12,13,studio,1,1,9,-1,yes,html/img/houses/13.jpg,"Furnished room, bright and sunny, in good condition, double glazing, good insulation, close to shops, amenities, STAR bus",285,2,1,0,0,0,0,0,0,0,1,1,0,0
120,133,studio,5,1,17,5,no,html/img/houses/133.JPG,"In a recent residence located a stone's throw from the station, discover this apartment on the 5th floor, not overlooked, offering an entrance hall, a living room with kitchenette and a shower room with wc. access to a shared laundry and bike storage. ",470,2,0,1,0,1,1,0,0,0,0,0,0,0
47,50,studio,1,0,9,2,yes,html/img/houses/50.JPG,"In a student residence near Pontchaillou, enjoy a 9mÂ² room on the 2nd floor with an unobstructed view of green spaces. Composed of numerous storage spaces, a water point and an office, you will have an ideal environment as a student. The toilets are on the landing with showers or a bathtub, as well as separate toilets. On each floor, common living space with a kitchen area (hob, oven, microwave), a common refrigerator consisting of private lockable mini-fridges and a dining area with tables and chairs. Relaxation area with sofas.",320,2,1,0,1,0,0,0,0,0,1,1,0,0
52,56,studio,1,1,20,2,yes,html/img/houses/56.JPG,"Located in a quiet area, near the University of Rennes 1 and close to public transport. we offer this studio consisting of a living room with cupboard, an equipped kitchenette and a bathroom. You also have access to the parking lot of the residence.",405,2,1,1,1,0,0,0,0,1,0,0,0,1
66,71,apartment,3,1,64,5,no,html/img/houses/71.JPG,"Located 3 minutes walk from the JULES VERNE stop (line C6) and 7 minutes from the future COURROUZE station on line b of the metro, we offer this new apartment in the residence ONYX. On the fifth floor with elevator, this apartment is composed of an entrance with cupboard, a living room with open kitchen, a large west-facing terrace of 28m2, two bedrooms, a bathroom, a toilet. separated and a storeroom. You have a parking space in the basement of the residence. ",1045,3,0,1,0,1,1,0,0,1,0,0,0,0
134,147,studio,1,1,19,0,no,html/img/houses/147.JPG,"In the immediate vicinity of the Place des Lices, discover this studio consisting of an entrance with cupboard, a main room with kitchenette and a shower room with wc. Cold water is included in the provisions for charges.",420,2,0,1,0,0,1,0,0,0,0,0,0,0
151,165,studio,1,1,21,2,yes,html/img/houses/165.JPG,"ideal for lovers of the city center pleasant furnished type 1 apartment comprising a living room with Murphy bed, fitted kitchen and a bathroom. ",605,2,1,1,0,0,1,0,0,0,0,0,0,0
63,67,studio,1,1,33,2,yes,html/img/houses/67.JPG,"Beautiful spacious unfurnished studio of 33 mÂ², located on the 2nd floor of a recent luxury building (2006), in perfect condition, comprising: entrance with cupboards, beautiful bright room with open fitted kitchen, bathroom with WC. Individual electric heating (low consumption DPE/C). 1 private underground parking.",570,2,1,0,0,1,0,0,0,1,0,0,0,0
32,35,apartment,2,1,28,2,yes,html/img/houses/35.JPG,"10 minutes from the center of Rennes, a furnished and refurbished apartment which consists of a bright living room with open furnished and equipped kitchen (hood, hob, microwave, washing machine) a bathroom with separate wc and a bedroom.",560,3,1,1,1,1,1,0,0,0,0,0,0,0
97,110,apartment,3,1,56,3,no,html/img/houses/110.JPG,"Recent luxury residence, located in the Beaulieu Baud district. Located on the 3rd floor, this beautiful apartment of 60.65 mÂ² consists of an entrance hall with cupboard, a living room opening onto a fitted kitchen area (storage furniture, hob, extractor) and extended by a terrace of 17.3 mÂ². You will also enjoy 2 bedrooms and a bathroom with sink and heated towel rail. Individual gas heating. A garage and a private parking space complete this property. ",758,3,0,0,0,1,0,0,1,1,0,0,0,0
162,176,studio,1,1,12,2,yes,html/img/houses/176.JPG,"Studio Rue Alphonse Guerin A main room, an equipped kitchenette, a shower room, wc, cupboard. Quiet, close to shops and bus 12.",390,2,1,1,1,0,1,0,0,0,0,0,0,0
105,118,studio,1,1,36,0,yes,html/img/houses/118.JPG," 10 minutes walk from the city center, 5 min by bus from Beaulieu, spacious furnished studio with fitted and equipped kitchen, washing machine, living room with dining area, living room, sleeping area, bathroom.",565,2,1,1,1,0,1,0,0,0,0,0,0,0
109,122,apartment,2,1,49,5,no,html/img/houses/122.JPG,"Close to shops and amenities, apartment on the top floor facing south with open view and comprising an entrance, a living room, a kitchen, a shower room. cellar on the landing, parking heating, collective hot & cold water.  ",725,3,0,1,0,0,1,1,0,1,0,0,0,0
111,124,studio,1,1,25,2,yes,html/img/houses/124.JPG,"Discover this studio ideally located near the Beaulieu university campus and the Gayeulles park. The apartment includes a main room, a fitted kitchen and a shower room with wc. You also benefit from a parking space within the condominium.",430,2,1,1,0,0,1,0,0,1,0,1,0,1
77,85,studio,1,0,12,1,yes,html/img/houses/85.JPG,"Flatshare 2 furnished rooms with balcony, shared, in a T5 apartment with 3 other flatmates. Common rooms: hallway, fitted and equipped kitchen, large bathroom with washing machine and dryer, separate wc.",380,2,1,0,1,0,0,0,1,0,1,0,0,0
144,157,apartment,2,1,30,3,yes,html/img/houses/157.JPG,"ideally located near the train station and the city center, in a small collective, type 2 comprising an entrance, a living room with kitchen, a bedroom, a bathroom, a cellar. ",585,3,1,1,0,0,1,1,0,0,0,0,0,0
165,179,studio,1,1,30,6,no,html/img/houses/179.JPG,"Large 30 mÂ² studio including 1 living room + fitted cupboard and kitchenette, 1 shower room. Individual electric heating. ",417,2,0,1,0,0,1,0,0,0,0,0,0,0
107,120,studio,1,1,21,4,yes,html/img/houses/120.JPG,"Ideally located in the center of rennes and at the same time quiet, come and discover this furnished studio offering the charm of the old and the comfort of a recent renovation with 1 living room and open fitted kitchen, shower room . ",522,2,1,1,0,0,1,0,0,0,0,0,0,0
153,167,studio,1,1,24,6,yes,html/img/houses/167.JPG,"New secure residence located in RENNES close to all amenities. Ideal students or young professionals. Very nice NEW apartment of 23.90 mÂ² fully FURNISHED located on the 6th floor with lift. It consists of a large living room opening onto an equipped kitchenette (sink, sink unit, hob, top fridge and storage units) and a bathroom (shower, washbasin unit, mirror and WC ). Heating and water included in the charges.",580,2,1,1,1,0,1,0,0,0,0,0,0,0
124,137,apartment,2,1,37,0,yes,html/img/houses/137.JPG," In the sought-after district of Saint-HÃ©lier and 600 meters from the line A metro station and within a year the second line (B). Small collective from the 1950s, clean and in good condition. Come and discover this type 2 furnished apartment on the raised ground floor with an area of â€‹â€‹approximately 37.5 mÂ². It includes an entrance and its hallway, a living room with a fitted and equipped kitchen area, a separate bedroom, a bathroom.  ",659,3,1,1,1,0,1,0,0,0,0,0,0,0
114,127,apartment,2,1,36,1,no,html/img/houses/127.JPG,"Recent one-bedroom apartment of 36.5 mÂ², located on the 1st floor of a luxury building. Bright living room opening onto a small balcony, separate fitted kitchen, 1 bedroom and a shower room with WC. Private parking space in the basement.",675,3,0,0,0,1,0,0,1,1,0,0,0,0
75,83,apartment,2,1,30,3,yes,html/img/houses/83.JPG,"Close to the city center, in a quiet and secure residence, an apartment with balcony and parking space, comprising an entrance hall, a fitted kitchen, a living room with a bedroom area, a bathroom.",540,3,1,1,0,0,1,0,1,1,0,0,0,0
149,163,studio,1,1,15,1,yes,html/img/houses/163.JPG,"furnished room, location: air parking, green spaces, close to shops, STAR bus, SNCF train station",450,2,1,1,0,0,1,0,0,1,0,1,0,0
130,143,studio,1,1,20,1,no,html/img/houses/143.JPG,"In the area of â€‹â€‹beaulieu, in a student and secure residence, located next to the faculties, a studio comprising a main room with an equipped kitchen, a bathroom. ",440,2,0,0,1,0,0,0,0,0,0,0,0,1
30,33,apartment,3,2,66,1,yes,html/img/houses/33.JPG,"It includes an entrance, a large living room opening onto a balcony, a fitted and equipped kitchen, two bedrooms, a bathroom, a separate WC. The apartment is rented with a closed garage. ",980,3,1,0,1,0,0,0,0,1,0,0,0,0
13,14,apartment,1,1,57,-1,yes,html/img/houses/14.jpg,"It is offered for rent a modern apartment renovated, furnished and equipped, with 1 double and luxurious bedroom, and 1 bathroom very spacious.",700,3,1,0,1,1,0,0,0,0,0,0,0,0
142,155,studio,1,1,19,0,yes,html/img/houses/155.JPG," In the immediate vicinity of the city center and public transport, a furnished studio of 19.12 mÂ², including an entrance with cupboard, a main room with balcony, an equipped kitchen area, a bathroom. with WC. Heating, hot and cold water in the charges.",450,2,1,1,1,0,1,0,1,0,0,0,0,0
166,180,apartment,3,1,57,0,yes,html/img/houses/180.JPG,"Recently renovated furnished 3-room apartment with living room and balcony, open fitted kitchen, loggia, 2 bedrooms, shower room. collective heating. ",900,3,1,0,0,1,0,0,1,0,0,0,0,0
16,17,apartment,1,1,22,4,yes,html/img/houses/17.jpg,"On the 4th floor, nice furnished flat of 21.64mÂ² with a nice decoration composed of an entrance, a living room with a fitted kitchen opening onto a south facing balcony, shower room with toilet. Individual covered parking - Collective heating. The residence has common areas: Laundry-Co Working with wifi connection- Relaxation area-Reading area- Common terrace-Wifi connection",575,3,1,0,0,0,0,0,1,1,0,0,0,0
57,61,studio,1,1,36,0,yes,html/img/houses/61.JPG,"10 minutes walk from the city center, 5 min by bus from Beaulieu, spacious furnished studio with fitted and equipped kitchen, washing machine, living room with dining area, living room, sleeping area, bathroom.",565,2,1,1,1,0,1,0,0,0,0,0,0,0
83,94,studio,1,1,24,5,yes,html/img/houses/94.JPG,"In the heart of the city center. Duplex studio on the top floor in a quiet secure building. Comprising a main room with kitchen area, bedroom on the mezzanine, bathroom. ",500,2,1,1,0,0,1,0,0,0,0,0,0,0
38,41,apartment,3,1,63,2,no,html/img/houses/41.JPG," In a recent residence located at the foot of the Beauregard promenade, come and discover this apartment comprising an entrance with large fitted cupboards, a living room with open kitchen and 19m2 balcony, two bedrooms on parquet, one with cupboard, a bathroom and separate toilets. You also benefit from a secure underground garage.",817,3,0,0,0,1,0,0,1,1,0,0,0,0
4,4,apartment,2,2,85,0,yes,html/img/houses/4.jpg,"It is offered for rent a modern apartment renovated, furnished and equipped, with 2 double and luxurious bedrooms, and 2 bathrooms very spacious.Pets are also allowed if the strict hygiene measures in the apartment are respected. ",950,3,1,0,1,1,0,0,0,0,0,0,0,0
3,3,apartment,2,1,46,0,no,html/img/houses/3.jpg,"Apartment Type 2 in Volney district including an entrance with closet, living room with cupboard overlooking a terrace, fitted and equipped kitchen, bedroom, bathroom, toilet, box in the basement.",640,3,0,0,1,0,0,1,1,0,0,0,0,0
15,16,apartment,2,2,60,-1,yes,html/img/houses/16.jpg,"The property has been completely renovated recently with excellent quality materials, a kitchen and bathrooms with custom furniture and big brand appliances.",600,3,1,0,1,1,0,0,0,0,0,0,0,0
14,15,apartment,3,1,85,3,no,html/img/houses/15.jpg,"Spacious type 3 apartment of 85 m2 on the 3rd floor with elevator, 2 bedrooms, one with cupboard and terrace, shower room with wc. On the first floor, a very nice living room with a large terrace facing west, open plan fitted and equipped kitchen. Garage, parking and storeroom. Collective heating and hot water.",994,3,0,0,1,0,0,1,1,1,0,0,0,0
0,0,apartment,2,1,40,3,yes,html/img/houses/3.jpeg,"Beautiful rooms with a view of the rooftops of Rennes, Sainte ThÃ©rÃ¨se district. Within walking distance of the metro (line a) and the bus (line 12). A small equipped kitchen, as well as a shower room and WC are on the same floor as the 2 bedrooms.",1600,3,1,1,1,0,0,0,0,0,0,0,0,0
62,66,apartment,2,1,46,2,no,html/img/houses/66.JPG,"Residence located close to the shops of Gast. T2 apartment of 46mÂ² located on the second floor. It is composed of an entrance, a living room opening onto an equipped kitchen (sink, cupboards, hob, extractor, oven, microwave), an 11mÂ² loggia facing south, a bedroom with cupboard and a bathroom (shower, vanity unit and mirror). Individual gas heating.",590,3,0,0,1,0,1,0,0,0,0,0,0,0
174,188,apartment,3,1,62,6,no,html/img/houses/188.JPG,"Close to shops, 10 min walk from villejean metro, t3 facing south with living room, fitted and equipped kitchen opening onto a balcony, 2 bedrooms, bathroom, underground parking. collective heating and hot water.",810,3,0,1,1,0,1,0,1,1,0,0,0,0
5,5,apartment,2,1,36,3,yes,html/img/houses/5.jpg,"Rennes centre, flat T2. Exclusive furnished rental. Tastefully arranged and furnished, it is located on the 3rd and last floor of a quiet and secure residence. Close to transport and shops, it is bright and south-facing. It has a beautiful living room with an open plan kitchen, fitted and equipped (induction hob, oven, fridge...), a bedroom with storage space, a shower room and a separate toilet.",791,3,1,1,1,0,1,0,0,0,0,0,0,0
